Person ID,First name,Last name,Party,Constituency,URI
10518,Chris,Ruane,Labour,Vale of Clwyd,http://www.theyworkforyou.com/mp/chris_ruane/vale_of_clwyd
24795,Amber,Rudd,Conservative,Hastings and Rye,http://www.theyworkforyou.com/mp/amber_rudd/hastings_and_rye
10519,Joan,Ruddock,Labour,"Lewisham, Deptford",http://www.theyworkforyou.com/mp/joan_ruddock/lewisham%2C_deptford
10520,David,Ruffley,Conservative,Bury St Edmunds,http://www.theyworkforyou.com/mp/david_ruffley/bury_st_edmunds
10521,Bob,Russell,Liberal Democrat,Colchester,http://www.theyworkforyou.com/mp/bob_russell/colchester
24820,David,Rutley,Conservative,Macclesfield,http://www.theyworkforyou.com/mp/david_rutley/macclesfield
10527,Adrian,Sanders,Liberal Democrat,Torbay,http://www.theyworkforyou.com/mp/adrian_sanders/torbay
24792,Laura,Sandys,Conservative,South Thanet,http://www.theyworkforyou.com/mp/laura_sandys/south_thanet
24738,Anas,Sarwar,Labour,Glasgow Central,http://www.theyworkforyou.com/mp/anas_sarwar/glasgow_central
11651,Lee,Scott,Conservative,Ilford North,http://www.theyworkforyou.com/mp/lee_scott/ilford_north
11760,Alison,Seabeck,Labour,"Plymouth, Moor View",http://www.theyworkforyou.com/mp/alison_seabeck/plymouth%2C_moor_view
11216,Andrew,Selous,Conservative,South West Bedfordshire,http://www.theyworkforyou.com/mp/andrew_selous/south_west_bedfordshire
13864,Jim,Shannon,DUP,Strangford,http://www.theyworkforyou.com/mp/jim_shannon/strangford
11917,Grant,Shapps,Conservative,Welwyn Hatfield,http://www.theyworkforyou.com/mp/grant_shapps/welwyn_hatfield
24902,Alok,Sharma,Conservative,Reading West,http://www.theyworkforyou.com/mp/alok_sharma/reading_west
13934,Virendra,Sharma,Labour,"Ealing, Southall",http://www.theyworkforyou.com/mp/virendra_sharma/ealing%2C_southall
10534,Barry,Sheerman,Labour,Huddersfield,http://www.theyworkforyou.com/mp/barry_sheerman/huddersfield
24893,Alec,Shelbrooke,Conservative,Elmet and Rothwell,http://www.theyworkforyou.com/mp/alec_shelbrooke/elmet_and_rothwell
10537,Richard,Shepherd,Conservative,Aldridge-Brownhills,http://www.theyworkforyou.com/mp/richard_shepherd/aldridge-brownhills
